minibundle x0 y0 L01 L13 offset1 offset2
1    -39.4  52304.1   5984.0   5947.2   -0.735    0.311
x0 y0 x1 y1 x3 y3
   -39.4  52304.1   5944.2  52380.9     -6.0  52272.2
rot1=0 rot2=0-180 mean(erx) mean(ery)     12.8     14.1
rot1 rot2 x y erx ery
120 60  -6032.2  52134.1     -2.3    -48.4
120 60  -6037.6  52129.8     -7.8    -52.7
180 60  -3200.6  57404.7    -60.7    -26.5
180 60  -3200.2  57414.2    -60.3    -17.0
180 60  -3205.1  57394.8    -65.2    -36.4
210 60   -179.9  58306.3    -18.9     11.7
210 60   -179.9  58301.6    -19.0      7.1
210 60   -183.9  58318.1    -22.9     23.6
240 60   2826.0  57602.8    -24.5     50.0
240 60   2826.0  57582.4    -24.6     29.6
240 60   2820.2  57575.6    -30.4     22.8
270 60   5078.8  55446.2     -9.0     41.6
270 60   5072.9  55452.5    -14.8     47.9
270 60   5080.1  55450.1     -7.7     45.5
300 60   5972.0  52457.5     20.9     31.8
300 60   5973.0  52465.5     21.9     39.8
300 60   5961.4  52480.8     10.3     55.2
330 60   5225.2  49423.9     15.9      9.8
330 60   5212.0  49407.8      2.7     -6.3
330 60   5209.3  49423.2     -0.1      9.1
0 60   3077.7  47147.9     16.6    -29.0
0 60   3077.1  47176.7     16.0     -0.3
0 60   3083.5  47170.3     22.4     -6.7
rot1=0-360 rot2=180 mean(erx) mean(ery)     36.8     17.3
rot1 rot2 x y erx ery
0 180  11891.3  52483.8      4.9     -5.6
0 180  11888.2  52493.9      1.8      4.5
0 180  11892.2  52486.1      5.8     -3.3
0 180  11896.5  52510.7     10.2     21.4
0 180  11885.9  52497.4     -0.5      8.0
0 180  11891.1  52499.8      4.8     10.4
0 180  11889.4  52505.9      3.1     16.5
0 180  11896.4  52510.2     10.1     20.8
0 180  11899.4  52499.4     13.0     10.0
240 180  -6228.1  62519.1    -65.4    -20.3
240 180  -6226.9  62512.2    -64.1    -27.3
240 180  -6231.0  62499.9    -68.3    -39.5
270 180   -332.7  64229.0   -108.0     -0.8
270 180   -333.7  64235.4   -109.0      5.6
270 180   -337.1  64248.3   -112.4     18.5
300 180   5701.2  62766.8    -61.8     42.1
300 180   5711.1  62760.0    -51.9     35.3
300 180   5699.0  62766.5    -64.0     41.8
330 180  10196.4  58427.0      0.4     -0.5
330 180  10199.0  58456.1      3.0     28.7
330 180  10184.8  58429.7    -11.1      2.3
