RPId	SpaxelId	FiberId	s
68	4		473	26.38
68	5		474	26.55
68	6		475	26.72
68	7		476	26.89
69	1		477	27.26
69	2		478	27.43
69	3		479	27.6
69	4		480	27.77
69	5		481	27.94
69	6		482	28.11
69	7		483	28.28
70	1		484	28.45
70	2		485	28.62
70	3		486	28.79
70	4		487	28.96
70	5		488	29.13
70	6		489	29.3
70	7		490	29.47
71	1		491	29.64
71	2		492	29.81
71	3		493	29.98
71	4		494	30.15
71	5		495	30.32
71	6		496	30.49
71	7		497	30.66
72	1		498	30.83
72	2		499	31
72	3		500	31.17
72	4		501	31.34
72	5		502	31.51
72	6		503	31.68
72	7		504	31.85
73	1		505	32.02
73	2		506	32.19
73	3		507	32.36
73	4		508	32.53
73	5		509	32.7
73	6		510	32.87
73	7		511	33.04
74	1		512	33.41
74	2		513	33.58
74	3		514	33.75
74	4		515	33.92
74	5		516	34.09
74	6		517	34.26
74	7		518	34.43
75	1		519	34.6
75	2		520	34.77
75	3		521	34.94
75	4		522	35.11
75	5		523	35.28
75	6		524	35.45
75	7		525	35.62
76	1		526	35.79
76	2		527	35.96
76	3		528	36.13
76	4		529	36.3
76	5		530	36.47
76	6		531	36.64
76	7		532	36.81
77	1		533	36.98
77	2		534	37.15
77	3		535	37.32
77	4		536	37.49
77	5		537	37.66
77	6		538	37.83
77	7		539	38
78	1		540	38.37
78	2		541	38.54
78	3		542	38.71
78	4		543	38.88
78	5		544	39.05
78	6		545	39.22
78	7		546	39.39
79	1		547	39.56
79	2		548	39.73
79	3		549	39.9
79	4		550	40.07
79	5		551	40.24
79	6		552	40.41
79	7		553	40.58
80	1		554	40.75
80	2		555	40.92
80	3		556	41.09
80	4		557	41.26
80	5		558	41.43
80	6		559	41.6
80	7		560	41.77
81	1		561	41.94
81	2		562	42.11
81	3		563	42.28
81	4		564	42.45
81	5		565	42.62
81	6		566	42.79
81	7		567	42.96
82	1		568	43.33
82	2		569	43.5
82	3		570	43.67
82	4		571	43.84
82	5		572	44.01
82	6		573	44.18
82	7		574	44.35
83	1		575	44.52
83	2		576	44.69
83	3		577	44.86
83	4		578	45.03
83	5		579	45.2
83	6		580	45.37
83	7		581	45.54
84	1		582	45.71
84	2		583	45.88
84	3		584	46.05
84	4		585	46.22
84	5		586	46.39
84	6		587	46.56
84	7		588	46.73
85	1		589	47.1
85	2		590	47.27
85	3		591	47.44
85	4		592	47.61
85	5		593	47.78
85	6		594	47.95
85	7		595	48.12
86	1		596	48.29
86	2		597	48.46
86	3		598	48.63
86	4		599	48.8
86	5		600	48.97
86	6		601	49.14
86	7		602	49.31
87	1		603	49.48
87	2		604	49.65
87	3		605	49.82
87	4		606	49.99
87	5		607	50.16
87	6		608	50.33
87	7		609	50.5
88	1		610	50.87
88	2		611	51.04
88	3		612	51.21
88	4		613	51.38
88	5		614	51.55
88	6		615	51.72
88	7		616	51.89
89	1		617	52.06
89	2		618	52.23
89	3		619	52.4
89	4		620	52.57
89	5		621	52.74
89	6		622	52.91
89	7		623	53.08
90	1		624	53.25
90	2		625	53.42
90	3		626	53.59
90	4		627	53.76
90	5		628	53.93
90	6		629	54.1
90	7		630	54.27
91	1		631	54.64
91	2		632	54.81
91	3		633	54.98
91	4		634	55.15
91	5		635	55.32
91	6		636	55.49
91	7		637	55.66
92	1		638	55.83
92	2		639	56
92	3		640	56.17
92	4		641	56.34
92	5		642	56.51
92	6		643	56.68
92	7		644	56.85
